Years,Month,Temp,p,eip,vc
1981,5,30.33,0.8807857020000001,7.745987438939289,0.0235751257651681
1981,6,28.98,0.896896872,8.551617873651772,0.0289918307093196
1981,7,26.83,0.916384902,10.249307479224376,0.0374375315113643
1981,8,26.5,0.9187050000000002,10.571428571428571,0.0385001870962004
1981,9,27.12,0.914198592,9.982014388489208,0.0364223237144186
1981,10,29.34,0.892892808,8.320839580209896,0.0275113759026786
1981,11,28.62,0.9006883920000002,8.795562599049127,0.0304812629757685
1981,12,27.78,0.908708712,9.422750424448216,0.0339066643440961
1982,1,26.85,0.91623855,10.230414746543778,0.0373697647788033
1982,2,29.95,0.8856229500000002,7.956989247311828,0.0250554514520349
1982,3,31.27,0.8678024220000001,7.269155206286837,0.0201285422077716
1982,4,31.88,0.8586017920000001,6.989924433249371,0.01807890300423
1982,5,30.01,0.8848749180000002,7.922912205567451,0.0248188402266656
1982,6,28.28,0.9040741120000002,9.039087947882736,0.0318833972296526
1982,7,27.65,0.90984655,9.527896995708156,0.034419615353012
1982,8,26.41,0.919306758,10.662824207492797,0.0387700504917273
1982,9,27.41,0.9118743580000002,9.728308501314636,0.0353463474814513
1982,10,28.22,0.904651912,9.083469721767594,0.0321293179880695
1982,11,27.63,0.910019142,9.544282029234738,0.034497901336929
1982,12,26.94,0.915571848,10.146252285191954,0.0370605138014562
1983,1,25.78,0.923147112,11.349693251533742,0.0403660732766773
1983,2,30.98,0.8719624720000002,7.409879839786382,0.0211561692842163
1983,3,32.85,0.8427145500000001,6.58753709198813,0.0151421994093858
1983,4,34.05,0.8209249500000002,6.149584487534627,0.0120479413196672
1983,5,30.61,0.8770698780000002,7.597535934291582,0.0225143971425698
1983,6,28.0,0.90672,9.25,0.033024678777636
1983,7,27.42,0.911791752,9.719789842381784,0.0353083280998395
1983,8,27.08,0.914508352,10.018050541516248,0.0365662841483174
1983,9,27.37,0.912203142,9.762532981530342,0.0354978592533256
1983,10,29.11,0.8954754780000002,8.466819221967963,0.0284555183554421
1983,11,28.75,0.8993437500000001,8.705882352941176,0.0299432196173516
1983,12,27.95,0.90717895,9.288702928870292,0.0332264709568992
1984,1,27.56,0.910618048,9.602076124567477,0.0347704667683065
1984,2,29.47,0.8913946620000002,8.24053452115813,0.0269813288719454
1984,3,32.48,0.8489566720000002,6.735436893203885,0.016215458837545
1984,4,32.21,0.8533700380000002,6.847624922887106,0.0170351319891728
1984,5,29.73,0.888315222,8.08448652585579,0.0259313285477019
1984,6,28.14,0.9054131280000002,9.14332784184514,0.0324561642168478
1984,7,27.75,0.90897375,9.4468085106383,0.0340256382228987
1984,8,27.39,0.912039078,9.745390693590869,0.0354222175862582
1984,9,26.81,0.916530598,10.26827012025902,0.037504940009485
1984,10,28.55,0.9014009500000002,8.844621513944222,0.0307707518580675
1984,11,29.26,0.8938009680000001,8.3710407239819,0.0278389489834322
1984,12,26.58,0.9181589520000002,10.491493383742911,0.038252759459786
1985,1,28.85,0.8982905500000001,8.638132295719844,0.0295293366329167
1985,2,29.48,0.8912782720000001,8.234421364985163,0.0269406832895213
1985,3,33.32,0.834461632,6.408775981524249,0.0138611102112524
